Commune,mean
VERRIERES-LE-BUISSON,5481.0
COURCELLES-EN-BASSEE,1699.0
MAUCHAMPS,3109.0
LAGNY-SUR-MARNE,4050.0
ARCUEIL,6264.0
SAINT-HILLIERS,2076.0
SAINT-PATHUS,3029.0
GRESSY,3518.0
GUYANCOURT,4140.0
SAINT-GERMAIN-SUR-ECOLE,2796.0
MENNECY,3219.0
TORFOU,2905.0
SOISY-SOUS-MONTMORENCY,4549.0
BOISSISE-LE-ROI,3062.0
CONDE-SAINTE-LIBIAIRE,3551.0
SERVON,3701.0
REAU,3142.0
ONCY-SUR-ECOLE,2741.0
FONTAINS,1604.0
PLESSIS-SAINT-BENOIST,1903.0
PONTCARRE,3641.0
VIGNY,3089.0
COURCELLES-SUR-VIOSNE,3224.0
NEAUPHLETTE,2507.0
LEUDEVILLE,3219.0
MAUREPAS,3234.0
ORVILLIERS,2700.0
SAINT-CYR-EN-ARTHIES,2428.0
LONGNES,2382.0
AUVERS-SUR-OISE,3829.0
BELLOY-EN-FRANCE,3374.0
GRISY-LES-PLATRES,3121.0
MARCHEMORET,3253.0
LA CROIX-EN-BRIE,1626.0
SCEAUX,7549.0
PARMAIN,3628.0
BEAUMONT-SUR-OISE,3170.0
VALENCE-EN-BRIE,2077.0
BOUGIVAL,6181.0
MONTALET-LE-BOIS,2651.0
VAYRES-SUR-ESSONNE,3394.0
GOUPILLIERES,3565.0
CLAYE-SOUILLY,3573.0
ORLY,4253.0
ARNOUVILLE-LES-MANTES,2628.0
LA BOISSIERE-ECOLE,3006.0
COUTENCON,1960.0
BRETIGNY-SUR-ORGE,3383.0
CREGY-LES-MEAUX,3144.0
FAREMOUTIERS,2575.0
PUISIEUX,2253.0
GROSLAY,3694.0
CHAINTREAUX,1997.0
MONDREVILLE,1781.0
LE TARTRE-GAUDRAN,
VILLEMOISSON-SUR-ORGE,3797.0
LA FERTE-SOUS-JOUARRE,2389.0
HONDEVILLIERS,2057.0
NOISY-SUR-OISE,3079.0
LES ECRENNES,2682.0
FLEXANVILLE,2979.0
PRUNAY-SUR-ESSONNE,2538.0
CARRIERES-SUR-SEINE,6007.0
LA NORVILLE,3338.0
CELY,3304.0
GAZERAN,3406.0
CARNETIN,3832.0
LE PLESSIS-PATE,3372.0
VILLAINES-SOUS-BOIS,3499.0
MARLY-LE-ROI,5542.0
BRIE-COMTE-ROBERT,3690.0
CHEVREUSE,4094.0
LA TOMBE,1834.0
NOINTEL,3464.0
LES ORMES-SUR-VOULZIE,2018.0
TRAPPES,3213.0
MEDAN,4425.0
CORBREUSE,2821.0
LARDY,3308.0
ATTAINVILLE,3197.0
VARENNES-JARCY,3661.0
CHARMONT,
AUFFARGIS,3467.0
NEUFMOUTIERS-EN-BRIE,3146.0
MONTIGNY-LENCOUP,1761.0
MAISONS-ALFORT,6435.0
VILLIERS-SOUS-GREZ,2674.0
ERMONT,4645.0
VAUJOURS,3486.0
CHATILLON,6794.0
VILLEMARECHAL,1896.0
CHANTELOUP-EN-BRIE,4056.0
GRANDPUITS-BAILLY-CARROIS,2288.0
RICHEBOURG,3017.0
OLLAINVILLE,3561.0
BALLAINVILLIERS,3920.0
DEUIL-LA-BARRE,4238.0
BOISSY-LA-RIVIERE,2438.0
DOUE,1751.0
LONGPERRIER,3510.0
ASNIERES-SUR-SEINE,7314.0
VAUDHERLAND,2484.0
SAINT-AUGUSTIN,2587.0
LE PERREUX-SUR-MARNE,6343.0
MELZ-SUR-SEINE,1543.0
EPONE,3118.0
CHAMPLAN,4015.0
VILLIERS-LE-SEC,2593.0
THEMERICOURT,3881.0
BEHOUST,3147.0
JUVISY-SUR-ORGE,3834.0
VILLIERS-LE-MAHIEU,3332.0
COURTOMER,2818.0
JAULNES,1789.0
LOMMOYE,1977.0
CROUY-SUR-OURCQ,2278.0
LA CHAPELLE-RABLAIS,2039.0
URY,2533.0
ABLIS,2717.0
SANTEUIL,3457.0
CERNEUX,1748.0
SEPT-SORTS,2496.0
RECLOSES,2791.0
COLOMBES,6825.0
LIVRY-SUR-SEINE,3068.0
SAINT-LOUP-DE-NAUD,1616.0
BAILLY-ROMAINVILLIERS,4360.0
BROUY,2134.0
FONTENAY-MAUVOISIN,2672.0
